soc_code,title,aai,aai_manus,rank,frey_probability,label,occupation,claude_usage,employment_2025,median_wage_2025,employment_2010,median_wage_2010,education_level,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,rl_feasibility,cognitive_ability_share
49-2091,Avionics Technicians,0.1341309684175299,0.1252863741469109,386.0,0.7,,Avionics technicians,0.002432107290675867,18830.0,82280.0,18320.0,52320.0,Postsecondary nondegree award,0.12,0.24,0.36,0.08,0.14,0.2,14.515384615384615,0.47058823529411764
49-2092,"Electric Motor, Power Tool, and Related Repairers",0.0930764051756168,0.0889406356312033,417.0,0.76,,"Electric motor, power tool, and related repairers",0.0110096285390418,14450.0,56210.0,18740.0,36170.0,High school diploma or equivalent,0.0961538461538461,0.1057692307692307,0.1153846153846153,0.0,0.0192307692307692,0.0384615384615384,6.6806451612903235,0.4252345912374266
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.1090707435871669,0.0978228499827928,554.0,0.91,,"Electrical and electronics installers and repairers, transportation equipment",0.012638271814048,6940.0,84890.0,12830.0,48410.0,Postsecondary nondegree award,0.16,0.24,0.32,0.08,0.16,0.24,11.846666666666666,0.42723880597014924
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.1473852032889669,0.1422340107098311,277.0,0.41,,"Electrical and electronics repairers, commercial and industrial equipment",0.011335357194043065,65010.0,74090.0,67550.0,51820.0,Postsecondary nondegree award,0.1794871794871795,0.3076923076923077,0.4358974358974359,0.1794871794871795,0.282051282051282,0.3846153846153846,24.93,0.4541534110993284
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.118890104467478,0.1028251654226489,261.0,0.38,,"Electrical and electronics repairers, powerhouse, substation, and relay",0.00579797005902195,20720.0,103020.0,23220.0,65230.0,Postsecondary nondegree award,0.24,0.34,0.44,0.0,0.16,0.32,23.613333333333333,0.4519223935754388
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.0876016579653641,0.0836567224910603,334.0,0.61,,"Electronic equipment installers and repairers, motor vehicles",0.0024755377780094,8550.0,48420.0,15630.0,28450.0,High school diploma or equivalent,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.125,0.25,15.741666666666667,0.4348336324727322
49-2097,Audiovisual Equipment Installers and Repairers,0.1188772353369345,0.1214000687879675,361.0,0.65,,Electronic home entertainment equipment installers and repairers,0.0091985772172349,19780.0,52600.0,30840.0,32940.0,Postsecondary nondegree award,0.1904761904761904,0.238095238095238,0.2857142857142857,0.0,0.0952380952380952,0.1904761904761904,25.636363636363637,0.4415291808997747
49-2098,Security and Fire Alarm Systems Installers,0.1204959888031347,0.115677777728101,450.0,0.82,,Security and fire alarm systems installers,0.008501517895532275,86340.0,60070.0,57390.0,38500.0,High school diploma or equivalent,0.0666666666666666,0.1666666666666666,0.2666666666666666,0.1,0.1833333333333333,0.2666666666666666,26.3125,0.44074344023323603
49-3011,Aircraft Mechanics and Service Technicians,0.1213026309701648,0.1159757353190842,387.0,0.71,,Aircraft mechanics and service technicians,0.00599340725202275,138090.0,79870.0,117510.0,53420.0,Postsecondary nondegree award,0.0895522388059701,0.1343283582089552,0.1791044776119403,0.0149253731343283,0.0597014925373134,0.1044776119402985,10.08421052631579,0.43658810325477
49-3021,Automotive Body and Related Repairers,0.0826601009897753,0.0788351912034928,558.0,0.91,,Automotive body and related repairers,,149310.0,54890.0,129730.0,38130.0,High school diploma or equivalent,0.0,0.0425531914893617,0.0851063829787234,0.0212765957446808,0.0425531914893617,0.0638297872340425,5.664,0.4081560534313379
